Account,TweetsPerDay,SimilarTweets,AccountType
ClauLucf84,1,0,User
clay_c42,11,0,User
Cleopatra_10,2,11,User
cmelakigor,50,714,User
codleyg,2,0,User
CoinsFifa1995,4,1423,User
Coldksa,19,7,User
colordeltiempo,10,14,User
Concepcionlnd,6,4,User
conyquqeveby,12,27,User
coocff,4,12,User
cookboutique,3,1848,User
Copyright_Pro,70,12,User
Coty_moty9559,12,42,User
CoverMyClass,5,50,User
Cr7Sambo,1,0,User
croos198,66,2,User
crown_promo,5,5237,User
cruszaa,100,54,User
CubaSinFrontera,66,1,User
d4f284b895fd45a,3,4,User
d7_Qpb,15,463,User
D_M8822,21,152,User
da3dob,1,893,User
da5el_7afy,8,3,User
daawrat,50,280,User
dadasturkey,3,12,User
Dahmshi99,2,21,User
DaiIyTeenLife,2,201,User
Daliadody74,12,0,User
daliia0,2,1,User
DallahHospital,7,57,User
DamnNoteBook2,1,0,User
Dan__442,40,1,User
danadona37,2,0,User
danadona39,2,1,User
danadona43,1,0,User
DanaK5511,66,189,User
dandana_dandan,3,0,User
dangerluve,1,16,User
daniellobo7000,5,2,User
daniielphelipec,1,0,User
DannyG_inkster,5,96,User
DarbakaMody,1,0,User
Darceypellerin,3,1445,User
darknesss23,6,0,User
dashinoa,2,0,User
DavidMasry,10,6,User
DavidPenn1989,2,6,User
DavidRPrasser,8,111,User
dcc6e7ff986d4ed,1,0,User
dd77oomee,1,97,User
ddd4562,6,13,User
decorat49,3,1,User
dedo_diaa,10,2,User
deeedo7,99,1,User
Democratic_AC,50,182,User
Demr_da4,3,96,User
DENUNCIASSUCRE,14,4,User
denyhayaty931,40,1306,User
depsy_em,18,8,User
DeryaTurann78,2,1,User
DesAshrafMohamd,25,6,User
deshnawe74,7,185,User
dev_nxx82,3,0,User
dgad19,28,5,User
dgdfdfv,33,609,User
dgmahmoud,1,0,User
Dhom088,33,94,User
di_ashraf,4,0,User
diaaelhamame,5,6,User
DiamondHeart23,28,131,User
dianadodo112,100,2,User
dibijiqifiva,49,3793,User
digitelcctolon,25,775,User
Diiaab74,15,31,User
diishaaaaaaaa,2,5,User
Dina_Wahba7,5,3,User
DinaFekry_,4,69,User
dinakamal1400,4,10,User
diwykykycabo,49,4024,User
dmp111,1,1,User
dnuay100,3,811,User
Doaakh8,16,0,User
doaasamy12,50,22,User
Doc_sheko,50,23,User
DocorAhmed,8,5,User
DodeLe2015,10,270,User
DODEM3,20,0,User
dodo_loved,49,4,User
DodoIbrahiem,100,0,User
Dodomar26,7,3,User
Dodoo_Malik,11,1,User
dody46017,11,0,User
dody_deroo,11,78,User
Dody_elgaly,2,0,User
dodymido93,3,4,User
DodyPharmacista,28,41,User
DohaHisham8,4,0,User
DohaQatry,9,6,User
DokaMZain,2,164,User
dolcika36,40,91,User
Don_kisho,100,4,User
donajuarez316,4,56,User
DONAOMDA,8,9,User
DoniaDody742,12,1,User
DoOla122,3,1,User
dot_amar,4,48,User
Dr_Alkarimi,4,2,User
Dr_Erorr,28,0,User
dr_es93,39,0,User
Dr_KaflgeN,13,2,User
Dr_SaMo0o,11,3,User
Drahmedofficial,5,6,User
DrAmalshawkey,3,1,User
Dreeelal,16,39,User
DrFatmaSamir,3,1,User
DrMyyasah,5,31,User
dwo32,100,526,User
dwrat_vip,39,276,User
Dz_deoy,2,124,User
E1alrayaQ8,28,343,User
e3lan_w1,100,52,User
e3lan_W2,40,31,User
E3lanat_11,20,0,User
e3lanatcom12,200,122,User
e3lanatcom25,200,101,User
e75228629acf410,2,0,User
E89_Y9,7,12,User
